방법,정확도,정확도_sd,Macro_F1,Macro_F1_sd,학습_초,추론_초,파라미터,라벨_필요,구현
R1 고정 임계 규칙,0.5881071948186042,0.12458388987468702,0.5136270252618305,0.03681253648993639,0.0,2.3200002033263445e-05,0,없음,지수 3개 계산 + if 4줄
R2 학습된 임계(트리),0.8796967480692313,0.05970716084803935,0.8569963499919243,0.04968698550331564,0.007627200044225901,0.0008858999353833497,트리 노드 ≤15,라벨 필요,지수 3개 + 결정트리
L  로지스틱 회귀,0.9474396781443761,0.0324157026762825,0.9342909699958263,0.0339172344882839,0.0832566000171937,0.001094000122975558,124,라벨 필요,요약 피처 30개 + 표준화
RF 랜덤 포레스트,0.9350969686540156,0.04412016435827764,0.9258947499199642,0.05316054745851456,2.314806700043846,0.2852606000378728,트리 300개,라벨 필요,요약 피처 30개
CNN SimpleCNN,0.9751747599901963,0.011179626345755039,0.9666318241071499,0.011934429470073884,6.123919699981343,0.024968899961095303,"96,804",라벨 필요,GPU 권장 + 학습 파이프라인
