세계,추정 계단,ATT,참값 대비,사전 RMSPE,사후 격차 기울기,기증 수,가중 집중도,인접 가중 합
세계A 기준(내생선택+효과+파급),① 사후 단순 비교,0.08836847851465812,0.03936847851465812,,,39,,
세계A 기준(내생선택+효과+파급),② DID (전체 기증 풀),0.13166300599768413,0.08266300599768413,,,39,,
세계A 기준(내생선택+효과+파급),③ SCM (전체 기증 풀),0.11286840440334887,0.06386840440334887,0.03758149576707542,-8.642127509888766e-05,39,0.172429955030816,0.2757128743267948
세계A 기준(내생선택+효과+파급),④ SCM (인접 제외 풀),0.109180935995314,0.060180935995314,0.03766226131493179,1.4490776034310926e-05,36,0.24052548392644324,0.0
세계B 대조군(파급 0),① 사후 단순 비교,0.08721463236081206,0.03821463236081206,,,39,,
세계B 대조군(파급 0),② DID (전체 기증 풀),0.13050915984383804,0.08150915984383804,,,39,,
세계B 대조군(파급 0),③ SCM (전체 기증 풀),0.10873271128844685,0.059732711288446844,0.03758149576707542,-8.642127509889563e-05,39,0.172429955030816,0.2757128743267948
세계B 대조군(파급 0),④ SCM (인접 제외 풀),0.109180935995314,0.060180935995314,0.03766226131493179,1.4490776034310926e-05,36,0.24052548392644324,0.0
