cost_ratio,critical_ratio,prob_cutoff,n_inspect,expected_cost,missed_violations_expected
1,0.5,0.5,7,28.81319151920074,26.294477676382307
3,0.75,0.25,32,74.29700829904718,18.268193033152762
5,0.8333333333333334,0.16666666666666666,59,106.04137901381867,12.969523807897094
10,0.9090909090909091,0.09090909090909091,123,149.51071299107522,5.207861529512646
20,0.9523809523809523,0.047619047619047616,168,178.57583771589475,1.969123883307554
50,0.9803921568627451,0.0196078431372549,219,204.08877291518328,0.31106934801465
100,0.9900990099009901,0.009900990099009901,237,208.5093387963435,0.02262477851393433
