rule,n_inspect,expected_cost,missed_violations_expected,saving_vs_none
제도 기본선 3%(표준위험 점검률 전용),7,272.5168286073112,26.93569022189773,35.24080972832758
제도 기본선 9%(고위험 점검률 전용),21,233.31079394329723,22.098777979714647,74.44684439234155
비용 최적 컷오프(p*>0.0909),123,149.51071299107522,5.207861529512646,158.24692534456355
예산 상위 K=30(위험순위),30,205.71408541385796,18.771804477038348,102.04355292178082
동수 손실률 컷오프(K=30),30,219.80567549826364,20.05285812107523,87.95196283737513
무작위 K=30,30,291.6388345687702,26.5831453093031,16.118803766868552
전수 실사,240,209.22423616643613,0.0,98.53340216920265
무실사,0,307.7576383356388,30.77576383356388,0.0
