strategy,n,solo,alloc,realized,cannibal,n_open,operating,jaccard_vs_g
N0 인구 상위K,10,16202.634134282913,13002.718375349134,13002.718375349134,0.19749355150611747,10,128660347.93275076,0.0
N1 미충족수요 상위K,10,16398.42849828833,13399.352278436203,13399.352278436203,0.1828880261401371,10,137465620.5812837,0.0
N2 N1+이격1km,10,15435.205396738358,14051.259859608097,14051.259859608097,0.08966162105123043,10,151937968.8832997,0.0
G  탐욕 순차,10,25168.295615104133,24801.307406943793,19893.209867975973,0.014581369107095954,10,281629259.06906664,1.0
