site,B건물수,BnotC_건물수,BnotC_%,DnotB_건물수,DnotB_%,우회비_중앙값,우회비_p90,추가주행_중앙값_m,컷라인_0%_m,컷라인_5%_m,근사컷라인_m,도로공백_%,평균추가주행_km,도달불가_건물수,동일건물수_필요속도_kmh
옥수,10343,7925,76.62186986367591,11,0.1063521222082568,1.4933996445063549,1.7033801512706335,719.8605117940479,187.0044579398596,1271.2916403232766,2008.83936931139,14.007264995127136,0.8024187225512317,25,24.3563335135527
신림,11699,2477,21.17274980767587,256,2.1882212154885035,1.2702813177740986,1.5259731787110415,417.6192836813825,88.5414765461076,2403.7639872570294,2361.681588183057,8.655975901479579,0.45398742045944956,29,21.86414272700666
화곡,11755,3376,28.719693747341555,24,0.20416843896214376,1.3266818745362292,1.5173335473691119,553.8691111695703,1328.3058284788551,2297.3777446934746,2261.280611110117,8.983786657216267,0.6530060014250811,46,24.496319067525487
