데이터,품목,conformal,목표포함률,실측포함률,평균폭,폭변동계수,반폭_실오차_순위상관,분위별포함률_편차pp,점포별포함률_최소,점포별포함률_최대,잔차평균_보정,잔차평균_시험,RMSE
이분산,도시락,정규화,0.9,0.8933,69.941,0.3641,0.3434,5.65,0.8699,0.9281,1.613,3.409,23.454
이분산,도시락,비정규화,0.9,0.8893,72.702,0.0,,14.9,0.7397,0.9863,1.613,3.409,23.454
등분산C1,도시락,정규화,0.9,0.8927,71.884,0.0318,0.035,3.77,0.863,0.9212,1.983,3.933,22.297
등분산C1,도시락,비정규화,0.9,0.8898,71.791,0.0,,5.14,0.8596,0.9247,1.983,3.933,22.297
이분산,우산,정규화,0.9,0.8955,19.685,0.4734,0.3848,1.54,0.8767,0.9212,-0.233,-0.166,6.476
이분산,우산,비정규화,0.9,0.8927,19.485,0.0,,16.44,0.7466,0.9829,-0.233,-0.166,6.476
등분산C1,우산,정규화,0.9,0.8973,20.086,0.0621,0.0696,3.25,0.8733,0.9247,-0.179,0.023,6.136
등분산C1,우산,비정규화,0.9,0.8973,20.224,0.0,,2.05,0.8596,0.9212,-0.179,0.023,6.136
