품목,정책,결품손실,과잉손실,총손실,실현서비스수준,평균발주,P3대비
도시락,P1 점추정,21774000.0,24336000.0,46110000.0,0.4469178082191781,86.75856164383562,444000.0
도시락,P2 구간 상한(90%),1459200.0,117894000.0,119353200.0,0.9355022831050228,123.12157534246575,73687200.0
도시락,P3 newsvendor(CR),28104000.0,17562000.0,45666000.0,0.3493150684931507,81.81449771689498,0.0
우산,P1 점추정,59850000.0,6390000.0,66240000.0,0.5764840182648402,16.998858447488583,36228000.0
우산,P2 구간 상한(90%),4380000.0,26824500.0,31204500.0,0.9526255707762558,26.88527397260274,1192500.0
우산,P3 newsvendor(CR),7560000.0,22452000.0,30012000.0,0.9275114155251142,25.100456621004565,0.0
