N,참값 전이율,참값 적용 전이율,참값 NPV,추정 전이율,추정 적용 전이율,추정 NPV,판정 일치
10,0.4977964925997185,0.4977964925997185,-4697.542322470805,-0.15364141606344717,0.0,5514.507616366798,False
15,0.24669473889957783,0.24669473889957783,453.6865162937902,-0.7304621240951708,0.0,5514.507616366798,True
20,-0.004407014800563047,0.0,5514.507616366798,-1.3072828321268943,0.0,5514.507616366798,True
25,-0.2555087685007036,0.0,5514.507616366798,-1.884103540158618,0.0,5514.507616366798,True
30,-0.5066105222008443,0.0,5514.507616366798,-2.4609242481903415,0.0,5514.507616366798,True
