설계,평균 추정치,편향,경험 SD,평균 SE,기각률,MC 오차,MDE,분석 단위 수,대조군 노출률,유효 반복
설계1 단순+사후비교,0.052148505556630184,0.0031485055566301823,0.08805475868032625,0.08742457288320993,0.08,0.008579044235810887,0.25168010395431406,40.0,0.9044500000000001,1000
설계2 단순+DID,0.04811146276414529,-0.0008885372358547125,0.03789274141495006,0.03777548712815765,0.227,0.013246546719805883,0.10867891142643628,40.0,0.9044500000000001,1000
설계3 짝지음+DID,0.04948789902044675,0.00048789902044674843,0.012972023874870885,0.013033800668999207,0.969,0.005480784615363026,0.038501516178648845,40.0,0.9590999999999998,1000
설계4 짝지음+오염제외,0.046537095814146195,-0.0024629041858538064,0.058592801265977365,0.0413552083340572,0.16666666666666666,0.02777777777777778,0.35148660015696964,4.644444444444445,0.0,180
설계5 군집무작위+DID,0.04921525256950979,0.00021525256950978566,0.07451920110591322,0.07591372550735523,0.069,0.008014923580421713,0.24592154009852213,10.0,0.6170500000000001,1000
